,tempo,placar,times,chutesnogolgolcasa,chutesnogolvisitante,chutesforagolcasa,chutesforagolvisitante,escanteioscasa,escanteiosvisitante,ataquesperigososcasa,ataquesperigososvisitante,possecasa,possevisitante,pi2casa,pi2visitante,pi1casa,pi1visitante
0,HT,1x1,MC Alger x Oued Magrane,3,1,5,0,5,1,56,20,63,37,10,6,23,17
1,HT,0x1,Newcastle x Everton,4,3,8,4,4,4,27,20,49,51,15,1,50,20
2,HT,0x0,Southampton x Crystal Palace,0,1,2,2,4,0,29,15,66,34,10,6,23,27
3,HT,1x0,Watford x Aston Villa,3,1,7,2,4,2,45,10,64,36,18,0,63,7
4,HT,0x0,Edinburgh City x Cowdenbeath,2,0,0,1,3,1,28,12,72,28,14,1,24,6
5,HT,1x0,Cove Rangers x Elgin,2,0,5,4,3,0,26,14,67,33,5,3,13,17
6,HT,0x0,Brechin x Albion,6,2,9,4,4,3,38,35,55,45,15,6,71,19
7,HT,0x1,Stenhousemuir x Stirling,2,2,4,1,6,0,33,16,58,42,9,6,22,18
8,HT,1x1,Airdrieonians x Falkirk,3,1,3,2,7,2,28,25,48,52,9,7,40,10
9,HT,0x0,Dumbarton x Stranraer,1,4,2,1,0,6,20,27,52,48,2,9,21,20
10,HT,1x3,East Fife x Raith,2,3,2,5,1,3,23,33,45,55,9,5,19,41
11,HT,1x0,Peterhead x Clyde,1,2,1,3,0,5,14,32,61,39,1,9,12,28
12,HT,2x1,Forfar x Montrose,5,5,1,3,0,1,10,26,40,60,4,8,8,42
13,HT,1x1,Morton x Partick,1,4,2,5,3,4,19,37,34,66,4,18,17,43
14,HT,1x2,Dunfermline x Alloa,4,3,5,0,4,2,46,10,66,34,13,2,33,7
15,HT,0x1,Ayr x Queen of South,2,2,2,3,3,2,32,16,62,38,11,1,32,18
16,HT,0x0,Inverness CT x Arbroath,1,2,3,2,2,5,27,31,63,37,8,7,13,27
17,HT,1x0,Bromley x Dag & Red,4,1,3,3,6,4,17,10,59,41,6,1,62,8
18,HT,1x1,Boreham Wood x Eastleigh,5,1,3,0,2,2,18,10,54,46,4,3,41,19
19,HT,2x1,Torquay x Woking,5,2,3,5,3,3,15,19,51,49,8,4,30,10
20,HT,0x1,Ebbsfleet United x Dover,3,2,4,3,3,2,38,41,48,52,11,7,20,10
21,HT,0x1,Chorley x Harrogate Town,2,3,5,1,4,3,9,10,47,53,2,4,39,11
22,HT,1x0,AFC Fylde x Stockport,2,0,10,9,6,7,44,47,50,50,8,15,30,30
23,HT,0x0,Aldershot x Barnet,0,1,2,4,0,3,21,26,0,0,1,6,10,10
24,HT,0x0,Halifax x Chesterfield,2,0,4,2,3,1,18,15,62,38,7,6,32,8
25,HT,0x0,Solihull Moors x Notts County,1,0,3,3,0,2,16,18,42,58,5,5,8,12
26,HT,0x0,Hartlepool x Barrow,0,0,4,5,1,0,37,23,43,57,11,8,29,31
27,HT,1x0,Maidenhead Utd x Wrexham,2,1,3,1,2,1,16,22,43,57,5,7,9,21
28,HT,2x0,AFC Hornchurch x Brightlingsea Regent,3,0,6,1,4,1,17,3,56,44,5,1,51,9
29,HT,0x0,Ashton Utd x FC United of Manchester,6,1,1,1,3,2,16,11,51,49,6,2,40,10
30,HT,1x1,Hemel Hempstead x Slough,3,2,3,6,3,3,26,29,0,0,7,5,20,40
31,HT,0x0,Hampton & Richmond x Bath City,0,1,1,0,2,2,35,18,55,45,5,8,11,19
32,HT,1x0,Dartford x Tonbridge Angels,8,3,5,0,5,1,15,11,60,40,4,3,52,38
33,HT,1x1,Billericay x Chelmsford,1,3,3,7,3,3,11,16,43,57,4,8,9,51
34,HT,1x0,Wealdstone x St Albans,1,0,7,3,4,1,28,24,0,0,6,12,40,20
35,HT,0x3,Hungerford Town x Havant and W,3,5,1,2,4,3,38,49,51,49,9,15,10,40
36,HT,2x1,Maidstone Utd x Dulwich,4,8,1,6,2,7,17,23,45,55,5,7,9,31
37,HT,0x0,Braintree Town x Concord Rangers,1,1,2,5,2,4,10,20,44,56,4,4,9,21
38,HT,2x1,Alfreton Town x Kings Lynn Town,2,1,3,5,3,2,42,45,31,69,9,18,26,44
39,HT,0x2,Blyth Spartans x Darlington,3,2,2,3,2,5,28,49,40,60,7,13,28,32
40,HT,2x1,Boston Utd x Kettering,2,2,2,1,1,1,21,23,47,53,6,5,39,31
41,HT,0x0,Farsley Celtic x Bradford P A,1,4,3,8,2,0,34,44,49,51,10,17,20,70
42,HT,1x1,Hereford x Leamington,4,2,3,2,3,3,37,36,63,37,6,14,23,7
43,HT,0x0,Brackley x Kidderminster,0,2,2,4,1,5,18,21,38,62,6,5,7,42
44,HT,0x0,Chester x Curzon Ashton,1,0,1,0,4,2,38,10,61,39,7,1,12,8
45,HT,0x0,Altrincham x Southport,1,1,3,5,7,1,38,42,54,46,12,14,31,29
46,HT,1x2,Spennymoor Town x Gateshead,1,4,6,1,4,1,73,44,59,41,20,11,32,18
47,HT,1x1,York x Guiseley,5,1,3,2,3,7,23,14,60,40,8,3,42,18
48,90,1x1,Kerala Blasters x Northeast United,4,2,4,4,6,4,60,54,56,44,60,54,21,9
49,HT,3x0,Crusaders x Dungannon Swifts,7,1,6,1,1,3,42,26,0,0,42,26,60,10
50,HT,0x0,Glentoran x Ballymena Utd,0,1,4,4,2,3,41,46,46,54,7,13,19,21
51,HT,1x1,Larne x Cliftonville,4,3,1,3,1,4,21,15,49,51,6,3,20,20
52,HT,0x1,Glenavon x Warrenpoint Town,3,1,3,1,5,1,41,20,57,43,16,2,31,9
53,HT,0x2,Institute x Carrick Rangers,0,3,4,3,3,1,40,40,51,49,16,11,30,20
54,HT,0x0,Loughborough Dynamo x Stamford,2,1,4,0,0,1,16,16,38,62,4,4,38,12
55,HT,0x1,Cumbernauld Colts x Gretna 2008,3,1,3,4,5,3,21,21,52,48,6,4,20,10
56,HT,0x0,Edinburgh University x East Stirlingshire,0,3,0,4,1,6,12,37,20,80,5,8,4,26
57,HT,0x0,UD Santa Marta x La Baneza,4,0,6,1,3,0,25,15,61,39,6,5,72,8
58,HT,0x0,CD Bupolsa x Cristo Atletico,2,1,3,1,3,0,24,18,44,56,8,5,19,11
